Boss Bat	Grey Noise
gaunt ghuol	10 moxie
plastered frat orc	5 adventures
werecougar	Anti-Sleaze Recursion

drunken 7-foot dwarf	
skeleton with a mop	
unemployed knob goblin	
protector spectre	
Battlie Knight Ghost	7 adventures
Dusken Raider Ghost	
Space Tourist Explorer Ghost	
Whatsian Commando Ghost	
batrat	5 adventures
ratbat	Nanofur
Batsnake	
Beer Bongadier	
Elite Beer Bongadier	
Heavy Kegtank	
Naughty Sorority Nurse	
Panty Raider Frat Boy	
Sorority Nurse	
Sorority Operator	
War Frat 110th Infantryman	
War Frat 151st Captain	
War Frat 151st Infantryman	
War Frat 500th Infantrygentleman	
War Frat Elite 110th Captain	
War Frat Elite 500th Captain	
War Frat Elite Wartender	
War Frat Grill Sergeant	
War Frat Kegrider	
War frat mobile grill unit	
War Frat Senior Grill Sergeant	
War Frat Wartender	
angry bugbear	10 muscle
revolving bugbear	7 adventures
annoying spooky gravy fairy	
bugged bugbear	
mad bugbears	
revolting bugbear	
decent lumberjack	
lumberjack supervisor	
lumberjill	
lumberjuan	
Renaissance Giant	10 adventures
Possibility Giant	10 mysticality
Foodie Giant	
Procrastination Giant	
swarm of Knob lice	5 adventures
Knob Goblin Elite Guard	Advanced Exo-Alloy
off-duty Knob Goblin Elite Guard	
Knob Goblin Very Mad Scientist	7 adventures
Knob Goblin Alchemist	Solid Fuel
Knob Goblin Mad Scientist	
Knob Goblin Bean Counter	5 adventures
Knob Goblin MBA	Cryocurrency
Knob Goblin Accountant	
Knob Goblin Embezzler	
Mob Penguin Capo	10 adventures
fan dancer	Subatomic Tango
Copperhead Club bartender	
ninja dressed as a waiter	
waiter dressed as a ninja	
bog leech	
bog skeleton	
ghost of Phil Bunion	
swamp hag	
G imp	5 adventures
demoninja	10 moxie
L imp	5 adventures
gargantulihc	
senile lihc	10 mysticality
basic lihc	7 adventures
dirty old lihc	
slick lihc	
gnollish bodybuilder	
Gnollish crossdresser	
one-eyed Gnoll	
fluffy bunny	5 maximum hp
chatty pirate	
cleanly pirate	
Clingy pirate (female)	
Clingy pirate (male)	
creamy pirate	
crusty pirate	
curmudgeonly pirate	
